source,author,title,url,publishedAt,content
Memeorandum.com,,Power Companies Are Using AI To Build Nuclear Power Plants (Matthew Gault/404 Media),https://www.memeorandum.com/251114/p121,2025-11-15T01:20:03Z,"memeorandum is an auto-generated summary of the stories that US political commentators are discussing online right now.
Unlike sister sites Techmeme and Mediagazer, it is not a human-edited news out… [+72 chars]"
Gutenbergtimes.com,Birgit Pauli-Haack,"Gutenberg Times: WordPress 6.9 Dev Notes, WordCamp Canada talks, Interactivity API — Weekend Edition #349",https://gutenbergtimes.com/wordpress-6-9-dev-notes-wordcamp-canada-talks-interactivity-api-weekend-edition-349/,2025-11-15T01:20:00Z,"Hi there, 
We are getting close to the WordPress 6.9 release. Below you find links to published Developer notes. You can also wait for the Source of Truth to be published next week to learn about be… [+9328 chars]"
Pypi.org,,cortexgraph 0.6.7,https://pypi.org/project/cortexgraph/0.6.7/,2025-11-15T01:19:36Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]"
Biztoc.com,reuters.com,Some Wall St hedge funds trimmed megacap positions in 3rd quarter,https://biztoc.com/x/61aff37255ace55b,2025-11-15T01:18:02Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump cut tariffs on food imports? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How did Berkshire's Alphabet s… [+725 chars]"
Biztoc.com,entrepreneur.com,How Solo Entrepreneurs Are Using ChatGPT's New Browser to Scale to Seven Figures While Cutting Their Workload in Half,https://biztoc.com/x/0406f7f4583f3752,2025-11-15T01:17:48Z,"Discover how OpenAI's Atlas turns your browser into a 24/7 AI assistant, helping solo entrepreneurs cut busywork and scale faster.
This story appeared on entrepreneur.com, 2025-11-15 01:00:00."
Freerepublic.com,The Tab,Here’s exactly how to do that adorable AI puppy trend where you’re surrounded by dogs,https://freerepublic.com/focus/f-chat/4352626/posts,2025-11-15T01:13:40Z,"Skip to comments.
Heres exactly how to do that adorable AI puppy trend where youre surrounded by dogsThe Tab ^
 | 11/11/25
 | Ellissa Bain
Posted on 11/14/2025 5:13:40 PM PST by DallasBiff
After… [+853 chars]"
Livemint,Riya R Alex,"Google announces a major $40 billion investment in Texas to develop AI, cloud infra by 2027 – here's what we know",https://www.livemint.com/companies/news/google-announces-a-major-40-billion-investment-in-texas-to-develop-ai-cloud-infra-by-2027-heres-what-we-know-11763168604479.html,2025-11-15T01:12:52Z,"Google is planning to invest $40 billion in Texas through 2027 to develop new cloud computing and artificial intelligence infrastructure, marking the tech giant's latest in a series of massive techno… [+265 chars]"
Pypi.org,hello@livekit.io,livekit-plugins-upliftai 1.3.0rc2,https://pypi.org/project/livekit-plugins-upliftai/1.3.0rc2/,2025-11-15T01:08:27Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]"
Pypi.org,hello@livekit.io,livekit-plugins-smallestai 1.3.0rc2,https://pypi.org/project/livekit-plugins-smallestai/1.3.0rc2/,2025-11-15T01:08:11Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]"
Pypi.org,hello@livekit.io,livekit-plugins-resemble 1.3.0rc2,https://pypi.org/project/livekit-plugins-resemble/1.3.0rc2/,2025-11-15T01:07:56Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]"
Pypi.org,hello@livekit.io,livekit-plugins-minimax-ai 1.3.0rc2,https://pypi.org/project/livekit-plugins-minimax-ai/1.3.0rc2/,2025-11-15T01:07:44Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]"
Bluetracker.gg,Blue Tracker,[EU] Mists of Pandaria Classic Hotfixes - Updated 14 November,https://www.bluetracker.gg/wow/topic/eu-en/581299-mists-of-pandaria-classic-hotfixes-updated-14-november/,2025-11-15T01:07:37Z,"November 14, 2025
Mists of Pandaria Classic
<ul><li>Glory of the Pandaria Raider no longer requires I Heard You Like Amber.</li></ul>November 11, 2025
Mists of Pandaria Classic
<ul><li>Death Knig… [+23950 chars]"
Bluetracker.gg,Blue Tracker,[US] Mists of Pandaria Classic Hotfixes - Updated November 14,https://www.bluetracker.gg/wow/topic/us-en/2136084-mists-of-pandaria-classic-hotfixes-updated-november-14/,2025-11-15T01:07:30Z,"November 14, 2025
Mists of Pandaria Classic
<ul><li>Glory of the Pandaria Raider no longer requires I Heard You Like Amber.</li></ul>November 11, 2025
Mists of Pandaria Classic
<ul><li>Death Knig… [+24322 chars]"
Pypi.org,hello@livekit.io,livekit-plugins-fireworksai 1.3.0rc2,https://pypi.org/project/livekit-plugins-fireworksai/1.3.0rc2/,2025-11-15T01:07:20Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]"
Biztoc.com,bloomberg.com,GoTo’s CEO Showdown Could Be Turning Point for a Grab Takeover,https://biztoc.com/x/4426c0c027fa4a0c,2025-11-15T01:07:12Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump cut tariffs on food imports? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How did Berkshire's Alphabet s… [+739 chars]"
Biztoc.com,bloomberg.com,Japan Plans Bigger Extra Budget This Fiscal Year: Media Reports,https://biztoc.com/x/729991b7267664e0,2025-11-15T01:07:06Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump cut tariffs on food imports? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How did Berkshire's Alphabet s… [+728 chars]"
Biztoc.com,bloomberg.com,"ANZ Failed to Face Bad News, AFR Cites McKinsey Report as Saying",https://biztoc.com/x/502939fe3e523fac,2025-11-15T01:07:02Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump cut tariffs on food imports? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How did Berkshire's Alphabet s… [+729 chars]"
Biztoc.com,bloomberg.com,Trump Says He’s Made ‘Progress’ on Stopping Drugs From Venezuela,https://biztoc.com/x/4d44b5966a600818,2025-11-15T01:07:00Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump cut tariffs on food imports? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How did Berkshire's Alphabet s… [+728 chars]"
Biztoc.com,bloomberg.com,Disney and YouTube TV Reach Agreement to Restore Channels,https://biztoc.com/x/d6d3aae858b0ffab,2025-11-15T01:06:57Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump cut tariffs on food imports? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How did Berkshire's Alphabet s… [+723 chars]"
Biztoc.com,reuters.com,"Disney's ESPN, ABC set to return on YouTube TV after weeks of disruption",https://biztoc.com/x/8023b6743b50921a,2025-11-15T01:06:53Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump cut tariffs on food imports? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How did Berkshire's Alphabet s… [+732 chars]"
Biztoc.com,apnews.com,"Trump scraps tariffs on beef, coffee, tropical fruit in a push to lower grocery store prices",https://biztoc.com/x/4cdb5113b07cc5f5,2025-11-15T01:06:52Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump cut tariffs on food imports? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How did Berkshire's Alphabet s… [+707 chars]"
Pypi.org,hello@livekit.io,livekit-agents 1.3.0rc2,https://pypi.org/project/livekit-agents/1.3.0rc2/,2025-11-15T01:06:43Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]"
Biztoc.com,barrons.com,Review & Preview: Trading Blind,https://biztoc.com/x/dfd1b976d68bd1bc,2025-11-15T01:06:38Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump cut tariffs on food imports? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How did Berkshire's Alphabet s… [+687 chars]"
BBC News,,Should Hitler's DNA have been studied – or just left alone?,https://www.bbc.com/news/articles/c5ylw4pz83do,2025-11-15T01:06:21Z,"Groundbreaking DNA analysis of Adolf Hitler's blood has uncovered some extraordinary findings about the dictator's ancestry and possible health conditions.
Painstaking scientific testing by a team o… [+12519 chars]"
Pypi.org,sdk@auth-agent.com,auth-agent-sdk 2.4.0,https://pypi.org/project/auth-agent-sdk/2.4.0/,2025-11-15T01:06:20Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]"
Dark Horizons,Garth Franklin,“Call of Duty: Black Ops 7” Campaign Won’t Pause,https://www.darkhorizons.com/call-of-duty-black-ops-7-campaign-wont-pause/,2025-11-15T01:04:15Z,"Activisions Call of Duty Black Ops 7 released today, and the title has so far fared decently on Metacritic with an 84/100 the best score for the Black Ops series since the 87 of the original, and one… [+1153 chars]"
Pypi.org,,wlater-mcp 0.1.1,https://pypi.org/project/wlater-mcp/0.1.1/,2025-11-15T01:03:44Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]"
The Verge,Brandon Russell,Here are 25 of our favorite outdoorsy deals from REI’s massive Holiday Sale,https://www.theverge.com/gadgets/821397/best-rei-holiday-sale-2025-deals,2025-11-15T01:02:08Z,"You can snag the high-end Garmin Fenix 8 for a whopping $250 off right now.


REI doesn’t do Black Friday, but that doesn’t mean you won’t be able to save this holiday season. The outdoor retailer’s… [+12727 chars]"
Pypi.org,sdk@auth-agent.com,auth-agent-sdk 2.3.2,https://pypi.org/project/auth-agent-sdk/2.3.2/,2025-11-15T01:01:54Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]"
Tennessean,"Tom Kreager, Nashville Tennessean",TSSAA football playoffs scores from 2025 Tennessee high school second round,https://www.tennessean.com/story/sports/high-school/2025/11/14/tssaa-football-playoffs-scores-second-round-tn-high-school-football/87184990007/,2025-11-15T01:00:52Z,"The TSSAA football playoffs has reached the second round of the 2025 Tennessee high school postseason.
Division I teams are playing for TSSAA football playoffs quarterfinal berths. Division II teams… [+2680 chars]"
ScienceAlert,"Jeremiah Stanley, The Conversation","Serotonin Could Play an Unexpected Role in Cancer, Scientists Discover",https://www.sciencealert.com/serotonin-could-play-an-unexpected-role-in-cancer-scientists-discover,2025-11-15T01:00:38Z,"Serotonin is often described as the happiness chemical because of its well-known role in regulating mood.
However, recent research suggests this familiar molecule may play an unexpected role in canc… [+5084 chars]"
Pypi.org,gabriel@langflow.org,lfx-nightly 0.2.0.dev9,https://pypi.org/project/lfx-nightly/0.2.0.dev9/,2025-11-15T01:00:21Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]"
Pypi.org,sdk@auth-agent.com,auth-agent-sdk 2.3.1,https://pypi.org/project/auth-agent-sdk/2.3.1/,2025-11-15T01:00:06Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]"
CBM (Comic Book Movie),DanielKlissmman,THE DARK KNIGHT Star Morgan Freeman Slams Unauthorized AI Usage Of His Image; Reveals He’s Taken Legal Action,https://comicbookmovie.com/batman/the-dark-knight/the-dark-knight-star-morgan-freeman-slams-unauthorized-ai-usage-of-his-image-reveals-hes-taken-legal-action-a224879,2025-11-15T01:00:00Z,"AI usage is quickly becoming commonplace in Hollywood. Though it remains a taboo topic among many creatives, a number of important figures in the entertainment industry are embracing the technology. … [+2950 chars]"
Activistpost.com,Editor,How Does the End Begin?,https://www.activistpost.com/how-does-the-end-begin/,2025-11-15T01:00:00Z,"The top 10 stocks in the S&amp;P 500 account for 40% of the indexs market cap. Since ChatGPT launched in November 2022, AI-related stocks have registered 75% of S&amp;P 500 returns, 80% of earnings g… [+10264 chars]"
Snopes.com,Jordan Liles,Does this video show Russian man in boat rescuing bear cub clinging to drifting tree trunk?,https://www.snopes.com//fact-check/video-russian-man-bear-cub/,2025-11-15T00:57:00Z,"Claim:
A video authentically shows a Russian language-speaking man in a boat rescuing a bear cub clinging to a drifting tree trunk.
A rumor that circulated online in November 2025 claimed a video s… [+2320 chars]"
Biztoc.com,reuters.com,US hedge funds trim stakes in 'Magnificent Seven' stocks in third quarter,https://biztoc.com/x/b5d9a97c5b54c241,2025-11-15T00:56:12Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump cut tariffs on food imports? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How did Berkshire's Alphabet s… [+730 chars]"
Biztoc.com,reuters.com,Shell ordered to pay Venture Global's legal fees after arbitration loss,https://biztoc.com/x/15497f10861f6fea,2025-11-15T00:55:52Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump cut tariffs on food imports? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How did Berkshire's Alphabet s… [+731 chars]"
Biztoc.com,barrons.com,Retailers Are Talking Affordable Turkey as the Holiday Season Begins,https://biztoc.com/x/d96f0deb29566b9a,2025-11-15T00:55:32Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump cut tariffs on food imports? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How did Berkshire's Alphabet s… [+716 chars]"
Pypi.org,,wlater-mcp 0.1.0,https://pypi.org/project/wlater-mcp/0.1.0/,2025-11-15T00:50:34Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]"
Pypi.org,,wlater-mcp added to PyPI,https://pypi.org/project/wlater-mcp/,2025-11-15T00:50:34Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]"
TechCrunch,Rebecca Bellan,Leaked documents shed light into how much OpenAI pays Microsoft | TechCrunch,https://techcrunch.com/2025/11/14/leaked-documents-shed-light-into-how-much-openai-pays-microsoft/,2025-11-15T00:48:37Z,"After a year of frenzied dealmaking and rumors of an upcoming IPO, the financial scrutiny into OpenAI is intensifying. Leaked documents obtained by tech blogger Ed Zitron provide more of a glimpse in… [+4159 chars]"
Pypi.org,,wiki3-ai 0.2.0,https://pypi.org/project/wiki3-ai/0.2.0/,2025-11-15T00:46:46Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]"
Pypi.org,,gitcopilot added to PyPI,https://pypi.org/project/gitcopilot/,2025-11-15T00:45:27Z,"Star Us on GitHub!
If GitPilot saves you time or helps your projects, please give us a star!
Your support helps us:
<ul><li> Build new features faster</li><li> Fix bugs and improve stability</li><… [+17442 chars]"
Biztoc.com,vox.com,The age of AI-run cyberattacks has begun,https://biztoc.com/x/2d8d214ca1b9e44f,2025-11-15T00:44:46Z,"Menu planning, therapy, essay writing, highly sophisticated global cyberattacks: People just keep coming up with innovative new uses for the latest AI chatbots.An alarming new milestone was reached t… [+147 chars]"
Biztoc.com,pymnts.com,"Bitcoin Drops Below $95,000 Amid Concerns About Interest Rates and AI Investments",https://biztoc.com/x/b2c070e2dac8e4d6,2025-11-15T00:44:46Z,"Bitcoin reportedly declined for a fourth day on Friday (Nov. 14), dropping as low as $94,491.22 early in the day. 
Week to date, the cryptocurrency was down nearly 9%, CNBC reported Friday.The repor… [+132 chars]"
Biztoc.com,apnews.com,"These Norman Rockwell sketches once hung in the White House. On Friday, they're up for auction",https://biztoc.com/x/0beaa5288638a23e,2025-11-15T00:44:25Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump cut tariffs on food imports? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How did Berkshire's Alphabet s… [+720 chars]"
Pypi.org,sdk@auth-agent.com,auth-agent-sdk 2.3.0,https://pypi.org/project/auth-agent-sdk/2.3.0/,2025-11-15T00:41:27Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]"
SiliconANGLE News,Maria Deutscher,Google to spend $40B on data center infrastructure in Texas,https://siliconangle.com/2025/11/14/google-spend-40b-data-center-infrastructure-texas/,2025-11-15T00:39:54Z,"Google LLC today announced plans to spend $40 billion through 2027 on a network of data centers in Texas.
The company will build three new facilities as part of the project. One will be located in A… [+3740 chars]"
Pypi.org,josh@usesynth.ai,synth-ai 0.2.23,https://pypi.org/project/synth-ai/0.2.23/,2025-11-15T00:37:43Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]"
Line25.com,Kate Dagli,Mostbet Croatia: Casinò E Scommesse Sportive Con Il 125% Di Bonus,https://line25.com/articles/mostbet-croatia-casino-e-scommesse-sportive-con-il-125-di-bonus/,2025-11-15T00:37:14Z,"Home » Articles » Mostbet Croatia: Casinò E Scommesse Sportive Con Il 125% Di Bonus
Line25 is reader supported. At no cost to you a commission from sponsors may be earned when a purchase is made via… [+23310 chars]"
Biztoc.com,barrons.com,AI Data Centers Need Juice. The Next Hot Stocks Give It,https://biztoc.com/x/e48a32a30d2eb849,2025-11-15T00:33:46Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump cut tariffs on food imports? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How did Berkshire's Alphabet s… [+692 chars]"
Biztoc.com,bloomberg.com,University of California Faculty Win Block on Trump Defunding,https://biztoc.com/x/69b080ee9e513f38,2025-11-15T00:33:35Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump cut tariffs on food imports? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How did Berkshire's Alphabet s… [+727 chars]"
7x7.com,Lisa Plachy,28 Fun Things to Do This Week (11.17.25),https://www.7x7.com/sf-events-11-17-25-2674289794.html,2025-11-15T00:33:28Z,"Light up your week.
Tis the season to glow up, as light-filled fun returns to SF. Catch Exploratoriums Glow exhibit, lightscapes in the Botanical Gardens, dazzling displays at Filoli, and a holiday … [+8226 chars]"
Biztoc.com,bloomberg.com,CD&R-Backed Multi-Color’s Sales Drop Amid Looming Debt Talks,https://biztoc.com/x/976e23af6b96122a,2025-11-15T00:33:23Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump cut tariffs on food imports? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How did Berkshire's Alphabet s… [+726 chars]"
Biztoc.com,apnews.com,"Shareholders of Union Pacific, Norfolk Southern support $85 billion rail merger",https://biztoc.com/x/91da0da6fc836133,2025-11-15T00:33:17Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump cut tariffs on food imports? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How did Berkshire's Alphabet s… [+739 chars]"
Biztoc.com,barrons.com,Tech Spending Sparks Worries. Most Borrowers Can Handle It,https://biztoc.com/x/6e6a7298e78ccfde,2025-11-15T00:33:05Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Trump cut tariffs on food imports? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How did Berkshire's Alphabet s… [+709 chars]"
Douban.com,Oz,同步现实的剧，这个系列好像在告诉我们不要科技还是不太依赖习惯和人性呢 (评论: 黑镜 第七季),https://movie.douban.com/review/17200928/,2025-11-15T00:31:36Z,"S07EP01----
S07EP02----
S07EP04--AI--
S07EP05----"
Buzzfeed,"Avalon Lustick, BuzzFeed Quiz Maker",There Are 10 Orders Of Knights Radiant — But Which One Do You Belong In Most?,https://www.buzzfeed.com/avalonlustick/knights-radiant-order-quiz,2025-11-15T00:31:02Z,This post was enhanced with AI creativity tools.
Ndtvprofit.com,Niraj Shah,Opinion: Talking Point This Week: Better Than Feared - India Inc's Earnings Trough Looks Over,https://www.ndtvprofit.com/opinion/talking-point-this-week-better-than-feared-india-incs-earnings-trough-looks-over,2025-11-15T00:30:00Z,"Why Indian Markets Look Interestingly Poised
Indian markets have undergone a long period of underperformance. The MSCI India index has underperformed MSCI EM index by approximately 25% on a rolling … [+2364 chars]"
Nep123.com,Editor,AI Robot’s Debut Disaster,https://nep123.com/ai-robots-debut-disaster/,2025-11-15T00:29:48Z,"Robot Fails on Stage: AI Robot Debut Disaster in Moscow
Russia’s first AI-powered humanoid robot, named AIDol, experienced an embarrassing stumble during its official debut at a technology event in … [+838 chars]"
Pypi.org,"trishaepan@gmail.com, areibman@gmail.com, ps4534@nyu.edu, madpin@gmail.com",tokencostauto 0.1.346,https://pypi.org/project/tokencostauto/0.1.346/,2025-11-15T00:29:07Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]"
Pypi.org,john@johnrood.com,vector-vault 7.4.5,https://pypi.org/project/vector-vault/7.4.5/,2025-11-15T00:27:44Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]"
Pypi.org,sdk@auth-agent.com,auth-agent-sdk 2.2.1,https://pypi.org/project/auth-agent-sdk/2.2.1/,2025-11-15T00:27:18Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]"
The Times of India,Kirtika Suneja,Unilateral moves leading to reset in global trade: WTO director-general Ngozi Okonjo-Iweala,https://economictimes.indiatimes.com/news/economy/foreign-trade/unilateral-moves-leading-to-reset-in-global-trade-wto-director-general-ngozi-okonjo-iweala/articleshow/125336044.cms,2025-11-15T00:27:00Z,"Members of the World Trade Organization have avoided a tit-for-tat with the US and that is why the most favoured nation (MFN) trade is high, says the Geneva-based global trade watchdog's director-gen… [+6829 chars]"
