gender,race,first_gen,income_quintile,in_state,legacy,gpa,sat_total,ap_courses,rec_score,interview_score,ecs_hours_per_week,intended_major,admit
F,White,1,2,1,0,2.5,1167,6,2.74,2.36,5.8,Biology,0
F,White,0,5,0,1,3.27,1383,2,4.14,2.0,8.4,Humanities,1
F,White,0,5,1,0,3.63,1409,6,3.81,3.38,8.2,Humanities,1
F,White,0,1,1,0,3.62,1103,0,4.27,2.08,3.6,Engineering,0
F,White,1,1,0,0,3.4,1050,2,3.17,3.11,8.5,CS,1
M,White,0,4,1,0,3.38,1345,2,3.75,3.23,5.2,Humanities,1
F,White,1,5,1,0,3.25,1020,7,3.28,4.86,11.5,Humanities,1
F,Other,0,4,1,0,3.42,1087,4,4.43,3.04,3.2,CS,1
F,White,1,1,1,0,2.83,1011,5,3.11,4.4,3.1,CS,0
F,White,0,4,1,0,2.74,1033,4,3.34,3.17,8.7,Humanities,0
M,White,0,2,0,0,2.73,1067,2,3.52,2.37,2.6,Economics,0
M,White,1,5,1,0,3.97,1184,2,3.11,2.36,5.5,Humanities,1
M,Black,1,5,1,0,4.0,1242,6,3.2,2.5,8.6,Art,1
M,White,0,4,0,0,3.69,1187,6,3.72,3.44,2.5,Humanities,0
F,AAPI,0,3,1,0,3.38,1325,6,3.74,3.1,8.8,Economics,1
M,White,0,2,1,1,2.83,1210,5,3.71,1.43,8.9,Economics,0
F,White,1,5,0,0,3.38,1195,6,3.45,4.02,11.1,Economics,1
F,Hispanic,1,1,0,0,3.33,978,4,3.26,3.98,4.9,Undeclared,0
F,White,1,1,1,0,3.46,1043,4,3.68,1.32,3.0,CS,0
M,Black,1,1,1,0,3.41,1046,5,2.44,3.61,3.2,Economics,0
F,White,1,3,0,0,3.7,1468,1,3.3,4.35,6.4,Engineering,1
F,Hispanic,0,1,1,0,3.92,881,2,1.35,1.36,4.7,Humanities,1
F,White,0,3,0,0,3.21,1020,1,3.74,2.63,5.0,Humanities,0
F,White,1,1,1,0,4.0,900,4,2.63,2.12,8.1,Engineering,0
M,Black,0,5,1,0,2.85,1303,9,3.05,3.98,7.0,Humanities,0
F,White,0,3,0,0,3.08,1182,6,3.23,2.67,9.6,Economics,0
F,White,0,1,1,0,3.31,1005,2,3.47,2.44,4.6,Undeclared,1
F,Other,1,4,1,0,3.6,1310,6,4.84,3.44,6.6,Humanities,1
M,AAPI,1,2,0,0,3.14,1122,4,2.27,4.15,6.2,Humanities,0
F,Black,0,2,0,0,3.1,1236,4,2.69,2.85,6.5,CS,0
F,AAPI,1,4,1,1,4.0,1353,2,3.69,2.72,6.1,Undeclared,1
F,Hispanic,0,5,0,0,3.32,942,8,3.06,2.97,9.0,Humanities,0
M,Hispanic,0,5,1,0,3.2,1361,3,4.0,3.73,9.3,Art,0
M,AAPI,1,3,1,0,3.92,959,4,3.2,1.93,9.8,Humanities,1
M,White,1,5,0,0,3.74,1240,7,4.03,3.19,7.5,Art,1
F,White,1,2,0,0,3.58,1060,3,3.05,2.15,2.9,Economics,0
M,AAPI,1,5,0,0,3.51,1201,5,3.83,2.24,5.6,CS,0
M,Hispanic,1,5,0,0,2.96,1036,5,2.93,1.64,13.2,Biology,0
M,White,0,3,1,0,3.43,1319,4,4.46,2.59,1.3,Engineering,0
F,White,0,3,1,0,2.87,994,5,2.28,3.86,3.0,Engineering,0
F,White,1,3,0,1,3.36,1220,4,3.03,1.41,5.8,Engineering,1
F,White,1,1,1,0,3.4,850,3,2.25,3.23,2.6,Economics,1
M,Hispanic,0,5,1,0,3.94,1263,4,3.98,2.68,9.6,Humanities,1
F,White,0,4,0,0,3.4,1448,1,3.72,2.25,8.6,Art,1
F,AAPI,0,5,1,0,3.82,1596,7,2.77,3.48,6.3,Art,1
F,Black,0,1,0,0,2.87,833,5,3.7,3.85,8.2,CS,0
M,Hispanic,1,5,1,0,3.83,1131,6,3.08,4.4,4.5,Humanities,1
F,White,0,2,0,0,3.51,1032,4,3.43,3.13,3.4,Undeclared,1
M,Hispanic,0,5,1,0,3.28,1581,4,3.87,3.14,11.5,Humanities,1
M,AAPI,1,5,1,0,3.68,1220,1,3.35,3.51,4.0,CS,1
M,Black,0,5,0,0,3.89,1390,5,4.05,5.0,8.5,Undeclared,1
F,White,0,5,1,0,3.59,1307,2,3.41,2.97,11.5,Biology,0
M,White,0,1,0,0,2.9,892,3,3.3,3.71,0.0,Economics,0
M,AAPI,0,2,0,0,3.33,845,6,3.04,2.43,4.4,Engineering,0
M,White,0,2,0,0,3.46,1019,2,2.08,2.24,7.6,Art,0
F,White,0,3,1,0,3.11,1499,3,3.23,4.42,5.3,Art,1
F,AAPI,0,5,1,0,3.21,1301,3,2.98,3.2,7.7,Humanities,0
F,AAPI,0,4,1,0,3.66,1368,5,4.24,3.28,7.3,Engineering,0
F,White,0,3,1,0,3.69,976,4,2.48,3.44,6.8,CS,1
F,White,0,5,1,0,4.0,1219,3,4.24,2.49,5.6,Undeclared,1
F,White,1,1,1,0,3.4,1159,5,2.99,2.45,6.0,Art,1
F,Hispanic,0,4,1,0,3.06,1067,10,3.64,2.59,7.4,Art,1
M,Other,0,3,1,0,4.0,1166,7,2.47,3.27,3.1,Humanities,1
F,White,1,2,1,0,3.62,972,3,3.01,3.19,3.7,CS,0
M,White,0,4,1,0,2.78,1336,5,3.0,2.62,3.3,Economics,0
M,White,0,5,0,0,3.15,1296,4,4.76,4.82,8.1,CS,0
F,White,1,5,1,0,3.32,1326,4,3.09,3.18,8.5,Biology,1
M,Hispanic,0,5,1,0,3.85,1387,7,4.19,3.28,8.1,CS,1
F,White,0,5,1,0,2.73,1233,8,4.2,4.27,9.0,Biology,0
M,White,1,3,0,0,3.24,1255,2,3.98,2.3,6.0,Humanities,1
F,White,1,1,0,0,3.39,942,4,2.74,2.38,6.0,Art,1
M,White,0,5,1,0,2.57,1353,8,4.58,3.43,7.3,CS,0
F,Hispanic,0,3,1,0,3.66,899,4,4.51,1.82,7.8,Art,1
F,AAPI,0,4,1,0,3.78,1116,4,3.62,2.91,3.6,Engineering,0
F,AAPI,1,1,1,0,2.87,1374,4,2.82,4.44,0.6,Undeclared,0
M,White,0,5,1,0,3.16,1351,7,2.98,4.66,7.8,Biology,1
M,Hispanic,0,5,1,1,3.26,1351,6,3.93,3.92,9.3,CS,0
F,White,0,5,0,0,2.57,1125,6,3.54,4.15,6.9,Humanities,0
F,Hispanic,1,1,0,1,3.01,872,4,3.36,3.19,5.7,CS,0
F,Hispanic,0,5,1,0,3.64,1228,5,2.69,2.85,8.4,Economics,1
M,White,0,4,0,0,3.0,1186,2,3.42,4.41,1.7,Humanities,0
F,Hispanic,0,1,1,0,3.58,1353,0,3.79,2.04,10.2,Biology,1
F,White,1,3,1,0,3.37,1283,5,3.79,3.77,2.6,Humanities,1
M,AAPI,0,3,0,0,3.44,1165,4,3.05,2.59,3.6,Economics,0
M,White,1,4,1,0,3.27,1194,6,3.33,2.74,9.4,CS,0
F,White,0,1,0,0,3.45,1166,1,2.22,3.23,4.4,Humanities,0
M,White,0,3,1,0,3.85,990,5,2.9,4.63,4.1,Undeclared,1
F,White,0,4,0,0,3.29,926,5,3.2,4.24,5.6,Engineering,0
M,White,0,4,1,0,3.75,1324,7,3.78,3.37,4.6,CS,0
F,White,0,4,1,0,3.75,1230,7,2.98,3.15,4.8,Engineering,0
M,AAPI,1,4,1,0,3.56,1001,3,2.78,3.73,8.5,Economics,0
M,White,0,4,0,0,4.0,902,6,3.85,4.19,5.6,Undeclared,0
M,White,1,1,0,0,2.87,1150,1,2.85,1.39,1.4,Humanities,0
F,Other,0,4,1,0,3.33,1147,0,2.9,3.0,4.9,Humanities,0
M,Hispanic,0,2,0,0,3.0,1161,7,3.69,2.06,4.8,Biology,0
F,White,0,3,0,0,3.6,1113,3,3.58,2.83,4.1,Economics,1
F,White,0,3,1,0,3.3,1170,6,3.18,1.99,5.2,Biology,1
M,AAPI,0,5,0,0,3.27,1157,4,3.29,1.76,8.5,CS,0
F,Black,1,2,0,0,3.78,1059,2,3.43,1.84,3.7,Biology,0
M,White,1,2,0,0,3.83,1151,2,3.52,2.46,2.8,Economics,1
M,Black,1,4,1,0,3.29,1146,5,3.53,3.57,4.8,Art,1
F,White,1,4,1,0,2.93,1138,5,3.47,2.45,10.0,Humanities,0
M,White,0,2,1,0,3.97,1215,5,2.84,2.21,10.6,Biology,1
F,Black,0,2,1,0,3.48,1224,3,2.87,3.22,5.3,Biology,0
F,AAPI,0,5,1,0,3.71,1106,6,3.4,3.43,9.4,Humanities,0
F,Hispanic,1,5,1,0,3.53,1226,4,2.92,4.56,5.0,Engineering,0
M,White,0,1,0,0,2.91,987,6,2.45,3.55,2.9,Biology,0
F,White,0,2,1,0,3.18,1132,1,3.15,2.08,6.3,Undeclared,0
F,White,1,4,0,0,3.6,1361,3,3.99,2.56,0.6,Humanities,1
F,White,0,1,1,0,3.08,1135,2,1.86,3.4,6.3,Undeclared,0
M,White,1,1,1,0,3.32,1353,8,2.87,2.09,2.7,Art,0
M,White,0,1,1,0,3.24,1116,5,3.26,2.54,1.7,Humanities,0
M,White,1,3,1,0,2.96,1117,3,3.94,1.63,6.7,Engineering,0
M,AAPI,1,3,1,0,3.9,1137,6,4.38,1.95,9.3,Economics,1
M,White,0,2,1,0,3.53,1150,5,3.05,3.91,4.4,Biology,0
F,White,0,1,1,0,3.36,1130,4,4.28,2.93,5.1,Biology,1
F,Black,0,4,1,0,3.67,1081,6,3.67,2.6,7.9,Humanities,0
M,White,0,5,1,0,2.93,1232,6,3.99,2.81,8.2,Biology,0
M,Hispanic,0,2,1,0,3.15,1029,4,2.56,4.27,2.7,CS,0
F,White,0,4,0,0,2.9,1339,1,3.67,2.57,7.4,Engineering,0
F,White,0,4,0,1,3.47,925,7,4.09,3.48,7.3,Humanities,0
M,Hispanic,0,3,1,0,3.51,1197,3,2.89,3.7,0.0,Biology,1
F,AAPI,0,3,0,0,3.4,937,2,1.74,4.16,8.1,CS,1
M,AAPI,1,1,0,0,3.53,1086,2,3.19,2.12,0.3,Economics,1
F,Black,0,5,0,0,2.99,1184,4,3.37,2.08,7.9,CS,0
F,White,0,5,1,0,3.28,1011,4,4.31,2.32,11.4,CS,0
M,Black,0,4,1,0,3.63,1352,6,3.08,3.68,6.2,Engineering,0
F,Hispanic,0,5,1,0,3.65,913,7,3.08,4.79,5.0,Humanities,0
F,Other,1,4,1,0,2.95,1181,1,2.7,3.71,7.9,CS,0
M,White,0,4,1,0,3.9,1317,4,3.02,2.57,10.3,Engineering,0
M,White,1,5,1,0,4.0,1423,5,5.0,4.15,4.5,Engineering,0
F,Black,0,1,1,0,3.39,860,3,2.15,2.42,0.0,Humanities,0
F,White,1,2,1,1,2.72,1023,7,2.55,2.23,7.9,Engineering,0
M,White,1,2,1,0,3.31,1247,2,3.17,2.63,7.0,Economics,1
M,White,1,4,1,0,3.53,1346,8,4.58,2.64,7.5,CS,0
F,White,0,2,0,0,3.17,1284,3,3.64,2.34,0.7,Humanities,1
F,White,0,2,0,0,3.74,1464,7,4.13,3.88,6.7,Engineering,0
F,White,1,3,1,0,3.29,1069,4,3.07,2.59,8.3,Biology,0
F,White,0,4,1,1,4.0,1272,4,2.72,1.83,12.2,Engineering,1
F,White,0,3,1,0,3.67,1127,4,3.03,3.47,5.3,Humanities,1
M,Hispanic,0,1,0,0,3.29,783,5,3.03,2.04,4.8,Engineering,0
F,White,0,4,1,0,3.8,1207,5,3.41,2.36,1.4,CS,0
F,White,0,3,1,0,3.94,896,5,3.17,3.56,8.4,Economics,0
M,White,0,1,1,0,3.55,1012,4,3.45,2.22,6.8,Undeclared,1
M,White,0,4,1,1,3.45,1014,3,3.12,2.74,7.8,Art,0
F,Other,0,2,1,0,3.09,1191,4,2.64,2.93,8.2,Undeclared,1
M,Hispanic,0,3,1,0,3.01,1066,3,2.58,2.77,4.0,Biology,1
M,White,1,5,1,0,2.64,980,8,3.62,2.86,6.8,Economics,0
M,White,0,2,1,0,3.38,1251,5,3.26,1.03,4.8,Humanities,1
F,White,1,5,1,0,3.35,1145,7,4.15,3.06,10.0,Engineering,1
F,White,0,3,1,0,3.28,1115,0,4.23,4.29,8.8,CS,0
M,White,0,5,0,0,3.87,1103,7,2.78,3.7,8.4,CS,1
F,White,1,5,1,0,3.45,1391,5,3.51,2.9,8.0,Undeclared,0
F,White,1,5,1,0,4.0,1268,3,3.38,3.58,8.7,Humanities,1
F,AAPI,1,2,0,0,3.0,984,4,2.28,3.4,4.1,Engineering,0
M,White,1,4,1,0,3.07,917,2,3.08,2.43,9.9,Humanities,0
M,White,1,2,0,0,2.76,1421,5,4.14,3.91,3.8,Humanities,1
F,White,1,5,0,1,3.69,1482,8,3.27,3.33,8.4,Biology,1
M,White,1,5,1,0,3.89,1432,2,3.02,2.95,5.8,CS,0
F,White,1,4,0,0,3.15,1062,5,3.37,4.37,8.9,Humanities,1
M,White,0,5,1,1,3.19,1195,5,4.2,1.55,7.4,Engineering,0
M,White,0,3,1,0,3.94,1231,0,3.12,2.06,11.2,Engineering,1
F,White,0,1,1,0,2.73,960,5,3.18,3.31,4.1,Economics,0
F,Black,0,5,1,0,3.91,1126,7,2.13,3.74,9.9,Engineering,0
F,Hispanic,1,3,0,0,3.08,1319,8,3.64,4.32,4.1,Humanities,0
M,White,0,1,1,0,3.38,1077,4,3.23,1.0,3.6,Engineering,0
M,White,0,1,0,0,3.57,903,1,3.63,3.49,4.3,Humanities,0
M,Black,1,4,1,1,3.58,1318,6,2.43,2.1,7.4,Biology,0
M,AAPI,0,5,1,0,3.46,1185,8,3.32,3.54,5.7,Economics,1
F,White,1,4,0,0,3.85,883,4,3.98,3.05,5.1,CS,1
M,White,0,3,1,0,3.5,1016,6,2.97,3.68,6.2,CS,0
F,White,0,2,1,0,4.0,1058,0,3.23,2.71,6.2,Engineering,1
F,AAPI,0,3,1,0,2.8,1206,7,3.05,3.81,5.9,Engineering,0
M,White,0,2,0,0,2.67,1129,5,2.97,2.24,4.8,CS,0
M,White,0,2,1,0,3.67,1302,0,3.9,2.83,1.9,Biology,1
F,White,0,1,0,1,3.18,1027,4,2.4,2.95,5.7,Economics,0
M,White,0,3,1,0,3.68,1110,0,3.27,4.34,8.1,Humanities,0
M,White,0,2,1,1,2.94,1304,2,3.5,3.57,7.6,Economics,0
M,AAPI,1,1,1,0,3.19,1187,4,3.66,2.96,4.5,Biology,0
M,White,0,2,1,0,3.48,1100,3,3.13,3.41,3.7,Undeclared,1
F,White,0,4,1,0,3.29,1261,7,3.98,3.97,6.0,Biology,1
F,White,0,3,1,0,3.48,1108,4,3.27,3.3,6.4,Engineering,1
F,Hispanic,1,3,1,0,2.85,977,4,3.37,2.18,5.7,CS,0
M,White,1,3,1,0,3.47,1448,6,3.35,3.5,3.6,Engineering,1
M,White,1,3,0,0,3.79,1039,3,3.69,2.98,1.5,Humanities,0
F,White,1,3,1,0,2.9,1181,4,3.63,2.72,4.3,Engineering,0
F,Black,0,5,0,0,3.06,1028,5,2.83,2.57,6.9,Biology,0
F,Black,1,4,1,0,3.83,1288,5,3.53,3.56,7.3,CS,1
M,Hispanic,0,1,1,0,2.78,916,5,3.42,3.21,3.4,Biology,1
M,AAPI,1,5,1,0,3.78,1465,4,4.38,2.44,6.7,Economics,1
F,White,0,1,1,0,3.26,1337,1,2.49,1.92,4.7,Engineering,0
F,White,0,1,0,0,3.04,1139,1,3.42,4.31,8.3,CS,0
M,White,1,3,0,0,3.79,1131,0,3.09,3.69,5.3,Art,1
F,AAPI,1,2,1,0,3.57,1069,7,3.32,2.97,1.0,Humanities,1
M,AAPI,1,4,1,1,3.51,1178,3,2.91,3.58,4.8,Undeclared,0
F,White,0,4,1,0,2.73,1277,4,3.39,2.73,11.3,CS,0
F,Hispanic,0,1,1,0,3.49,1098,6,3.29,2.66,8.0,Humanities,1
M,White,0,3,0,0,2.98,1287,4,2.72,3.02,8.3,Engineering,0
F,White,0,4,0,0,3.35,1066,6,4.27,3.87,8.6,Biology,0
F,White,0,4,1,0,3.48,1434,2,2.47,1.97,8.6,Humanities,0
F,Hispanic,0,3,1,1,4.0,1116,7,3.77,2.18,5.4,CS,0
F,Hispanic,1,4,0,0,3.27,1056,4,1.94,2.12,8.7,Biology,0
F,White,0,3,1,0,2.9,1226,2,3.15,3.68,8.3,Engineering,0
F,Hispanic,1,2,1,0,3.76,1155,2,3.49,2.82,7.0,CS,0
F,Hispanic,1,3,1,0,3.58,897,8,3.73,2.27,4.2,Humanities,1
F,Hispanic,0,4,1,0,3.75,1153,4,3.34,2.92,6.0,Engineering,1
M,Hispanic,0,1,0,0,3.71,756,1,2.96,2.29,2.8,Economics,0
M,White,0,4,1,0,4.0,1125,4,3.74,1.95,9.3,Humanities,1
F,Black,0,2,0,0,2.96,1016,3,3.77,3.91,6.0,Biology,0
F,AAPI,1,1,1,0,2.68,1092,3,3.93,2.68,5.1,CS,0
F,Black,0,4,0,0,3.72,1085,5,2.63,4.13,8.2,CS,0
M,White,0,2,0,0,3.18,1028,4,3.08,1.74,1.7,Biology,0
M,Black,1,3,0,0,3.22,1298,5,1.98,3.4,7.9,Undeclared,1
F,Hispanic,1,4,0,0,2.97,1449,4,2.58,1.95,5.1,Undeclared,1
F,White,1,3,1,0,3.53,1011,8,2.88,4.96,4.6,Biology,0
F,Other,0,4,0,1,3.57,1338,4,4.07,1.72,4.7,Biology,0
F,White,1,5,1,0,3.44,1284,8,3.21,4.64,7.5,Economics,0
M,White,0,4,1,0,2.99,977,4,3.23,3.08,6.6,Art,1
F,White,0,1,0,0,3.61,949,0,3.28,2.65,0.9,Economics,0
F,Black,1,2,1,0,3.34,671,0,2.8,3.37,0.4,Humanities,0
F,AAPI,1,3,0,0,3.67,1160,5,2.1,2.25,5.2,CS,0
M,White,0,3,1,0,2.66,1024,7,2.85,3.63,8.0,Art,1
F,AAPI,0,2,0,0,3.29,1124,1,3.13,3.59,7.0,Economics,1
M,White,0,1,1,0,2.99,1445,1,3.38,2.81,6.9,Biology,1
F,White,1,1,0,0,3.13,1248,4,2.98,3.0,3.6,Engineering,0
M,Hispanic,1,1,0,0,3.45,918,3,3.37,4.34,3.2,CS,0
F,AAPI,0,5,0,0,3.64,1099,4,4.05,3.72,7.3,Biology,1
M,Black,0,2,1,0,3.33,1311,1,3.87,2.27,7.2,Undeclared,0
M,AAPI,1,5,1,0,3.49,1089,6,3.6,3.8,11.3,Economics,1
M,Other,1,2,1,1,2.7,1234,5,2.67,2.47,3.7,Biology,0
M,White,0,2,1,0,3.0,1513,5,2.45,2.31,4.5,CS,0
M,White,0,3,0,0,3.74,1245,4,2.61,3.41,6.1,CS,0
M,White,1,5,1,0,3.31,1396,3,2.86,2.39,6.6,Economics,1
M,AAPI,0,3,1,0,3.8,1325,5,3.36,3.04,4.5,Undeclared,0
F,AAPI,0,1,1,0,3.53,1007,4,4.23,3.34,4.1,Biology,1
M,Black,0,2,1,0,3.63,1171,1,3.33,4.43,3.2,Engineering,1
F,White,0,5,1,1,3.68,1131,5,3.6,3.71,9.4,Biology,1
M,White,1,1,0,0,2.97,1206,4,3.68,1.62,7.8,Economics,0
F,AAPI,0,5,1,0,3.51,1113,5,3.0,2.15,6.9,Humanities,1
F,Other,0,5,0,1,3.73,1338,1,4.28,4.58,11.8,Biology,0
M,White,0,2,1,0,2.58,1288,2,3.78,2.39,4.9,Undeclared,1
F,White,1,3,0,0,3.72,1046,3,3.34,1.79,4.0,Economics,1
F,White,0,3,1,0,3.22,1074,5,4.56,2.2,7.7,CS,0
F,White,0,4,1,0,3.45,1196,10,4.07,3.74,4.5,CS,0
F,White,0,4,1,0,3.45,1095,5,3.43,3.19,8.4,Economics,0
F,White,0,1,1,0,3.23,1107,1,3.01,3.32,5.0,Humanities,0
F,AAPI,1,2,1,0,2.79,967,3,2.94,2.87,3.9,Economics,0
F,White,1,5,1,1,3.54,1112,6,3.57,2.32,6.0,Humanities,0
F,White,1,2,1,0,3.46,1172,5,3.14,1.47,2.7,CS,0
F,White,0,2,1,0,2.6,1216,6,3.01,2.23,7.8,Engineering,0
M,Hispanic,0,4,0,0,2.97,1154,7,3.27,3.2,6.2,CS,1
F,White,1,1,1,0,3.48,820,4,2.38,1.85,4.9,Biology,1
M,White,0,1,1,0,3.49,1249,3,2.76,3.59,4.4,Economics,0
M,White,1,4,1,0,3.51,1122,8,2.44,2.3,6.0,Undeclared,1
F,AAPI,0,1,0,0,2.95,1349,2,3.35,1.48,5.2,Biology,1
F,Hispanic,0,5,1,0,3.81,1246,6,3.55,3.2,8.9,Biology,0
M,White,0,2,1,1,2.9,1149,3,3.28,3.51,5.5,Humanities,0
M,White,0,1,1,0,3.19,1025,0,3.63,3.99,3.9,Humanities,0
M,White,0,4,1,0,3.02,1254,7,2.88,1.81,4.1,CS,1
M,AAPI,0,1,0,0,3.13,1547,4,2.67,3.94,2.9,Humanities,1
M,Hispanic,0,2,1,0,2.96,1081,0,2.31,3.05,4.4,Economics,0
M,White,0,2,1,0,3.58,1309,6,3.81,2.4,5.2,Biology,0
F,White,1,3,1,0,3.48,1153,4,3.66,3.54,1.4,Undeclared,0
M,Black,0,3,1,0,3.2,1339,6,4.1,4.08,7.5,Humanities,1
F,Black,1,1,0,0,3.5,755,3,4.05,1.46,4.9,Humanities,0
M,White,0,2,1,0,2.99,1402,1,2.95,2.56,3.7,Humanities,0
M,White,0,1,0,0,3.18,1108,3,2.67,2.36,2.1,Economics,0
F,White,0,1,1,1,3.02,1048,1,2.17,3.3,2.7,CS,0
M,Black,1,4,1,0,3.67,1311,2,2.74,4.27,3.2,Biology,0
F,Black,0,3,0,1,3.58,1170,6,3.26,3.06,5.2,Humanities,1
M,AAPI,1,1,1,0,3.63,889,4,1.86,2.57,3.7,CS,1
F,Hispanic,0,2,1,0,3.35,791,7,2.55,3.26,7.5,Undeclared,0
M,White,1,4,1,0,2.37,1441,4,3.35,2.91,7.7,CS,0
F,White,1,2,0,0,3.05,1039,1,3.74,1.16,8.0,Economics,0
M,White,1,3,1,0,3.88,1054,6,2.87,3.41,6.0,CS,0
M,Hispanic,0,4,1,0,3.37,1145,3,3.48,3.89,4.5,Humanities,1
M,AAPI,1,4,1,0,2.74,1390,4,4.52,3.96,10.9,Economics,0
